..\Mods\@RHSAFRF\rhs_2s1,2,	class rhs_2s1
..\Mods\@RHSAFRF\rhs_c_a2port_air,365,	class Heli_Transport_02_base_F: Helicopter_Base_H;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,366,	class Heli_Light_02_base_F: Helicopter_Base_H
..\Mods\@RHSAFRF\rhs_c_a2port_air,375,	class Plane: Air
..\Mods\@RHSAFRF\rhs_c_a2port_air,380,	class Plane_Base_F: Plane
..\Mods\@RHSAFRF\rhs_c_a2port_air,388,	class Plane_CAS_02_base_F;
..\Mods\@RHSAFRF\rhs_c_a2port_air,389,	class O_Plane_CAS_02_F: Plane_CAS_02_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,395,	class UAV: Plane
..\Mods\@RHSAFRF\rhs_c_a2port_air,402,	class RHS_Mi24_base: Heli_Attack_02_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,1651,	class RHS_Mi24V_Base: RHS_Mi24_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,1771,	class RHS_Mi24D_Base: RHS_Mi24V_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,1849,	class RHS_Mi24D_Early_Base: RHS_Mi24D_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,1892,	class RHS_Mi24P_VVS_Base: RHS_Mi24_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,1901,	class RHS_Mi24P_vvs: RHS_Mi24P_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,1902,	class RHS_Mi24P_vvsc: RHS_Mi24P_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,1918,	class RHS_Mi24P_CAS_VVS_Base: RHS_Mi24P_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,1961,	class RHS_Mi24P_CAS_vvs: RHS_Mi24P_CAS_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,1962,	class RHS_Mi24P_CAS_vvsc: RHS_Mi24P_CAS_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,1979,	class RHS_Mi24P_CAS_vdv: RHS_Mi24P_CAS_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2006,	class RHS_Mi24P_AT_VVS_Base: RHS_Mi24P_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2049,	class RHS_Mi24P_AT_vvs: RHS_Mi24P_AT_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,2050,	class RHS_Mi24P_AT_vvsc: RHS_Mi24P_AT_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2067,	class RHS_Mi24P_AT_vdv: RHS_Mi24P_AT_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2093,	class RHS_Mi24P_vdv: RHS_Mi24P_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,2119,	class RHS_Mi24V_VVS_Base: RHS_Mi24V_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2124,	class RHS_Mi24V_vvs: RHS_Mi24V_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,2125,	class RHS_Mi24V_vvsc: RHS_Mi24V_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2135,	class RHS_Mi24V_FAB_VVS_Base: RHS_Mi24V_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2178,	class RHS_Mi24V_FAB_vvs: RHS_Mi24V_FAB_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,2179,	class RHS_Mi24V_FAB_vvsc: RHS_Mi24V_FAB_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2196,	class RHS_Mi24V_FAB_vdv: RHS_Mi24V_FAB_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2222,	class RHS_Mi24V_UPK23_VVS_Base: RHS_Mi24V_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2265,	class RHS_Mi24V_UPK23_vvs: RHS_Mi24V_UPK23_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,2266,	class RHS_Mi24V_UPK23_vvsc: RHS_Mi24V_UPK23_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2283,	class RHS_Mi24V_UPK23_vdv: RHS_Mi24V_UPK23_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2309,	class RHS_Mi24V_AT_VVS_Base: RHS_Mi24V_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2352,	class RHS_Mi24V_AT_vvs: RHS_Mi24V_AT_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,2353,	class RHS_Mi24V_AT_vvsc: RHS_Mi24V_AT_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2370,	class RHS_Mi24V_AT_vdv: RHS_Mi24V_AT_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,2396,	class RHS_Mi24Vt_vvs: RHS_Mi24V_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2467,	class RHS_Mi24Vt_vvsc: RHS_Mi24Vt_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,2484,	class RHS_Mi24V_vdv: RHS_Mi24V_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,2510,	class RHS_Mi8_base: Heli_Light_02_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,3324,	class rhs_mi8mtv3_base: RHS_Mi8_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,3619,	class rhs_mi8mtv3_heavy_base: rhs_mi8mtv3_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,3712,	class rhs_mi8amtsh_base: rhs_mi8mtv3_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,3867,	class rhs_mi8t_base: RHS_Mi8_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,3972,	class rhs_mi8amt_base: RHS_Mi8_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4027,	class RHS_Mi8_VVS_Base: RHS_Mi8_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4035,	class RHS_Mi8MTV3_VVS_Base: rhs_mi8mtv3_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4039,	class RHS_Mi8MTV3_Heavy_VVS_Base: rhs_mi8mtv3_heavy_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4043,	class RHS_Mi8AMTSh_VVS_Base: rhs_mi8amtsh_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4047,	class RHS_Mi8T_VVS_Base: rhs_mi8t_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4051,	class RHS_Mi8AMT_VVS_Base: rhs_mi8amt_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4055,	class RHS_Mi8mt_vvs: RHS_Mi8_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,4059,	class RHS_Mi8mt_vvsc: RHS_Mi8mt_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4076,	class RHS_Mi8mt_vdv: RHS_Mi8mt_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4089,	class RHS_Mi8mt_vv: RHS_Mi8mt_vdv
..\Mods\@RHSAFRF\rhs_c_a2port_air,4102,	class RHS_Mi8mt_Cargo_vvs: RHS_Mi8mt_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4149,	class RHS_Mi8mt_Cargo_vvsc: RHS_Mi8mt_Cargo_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4166,	class RHS_Mi8mt_Cargo_vdv: RHS_Mi8mt_Cargo_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4179,	class RHS_Mi8mt_Cargo_vv: RHS_Mi8mt_Cargo_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4192,	class RHS_Mi8MTV3_vvs: RHS_Mi8MTV3_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,4193,	class RHS_Mi8MTV3_vvsc: RHS_Mi8MTV3_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4210,	class RHS_Mi8MTV3_vdv: RHS_Mi8MTV3_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4223,	class RHS_Mi8MTV3_UPK23_vvs: RHS_Mi8MTV3_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4275,	class RHS_Mi8MTV3_UPK23_vvsc: RHS_Mi8MTV3_UPK23_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4292,	class RHS_Mi8MTV3_UPK23_vdv: RHS_Mi8MTV3_UPK23_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4305,	class RHS_Mi8MTV3_FAB_vvs: RHS_Mi8MTV3_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4336,	class RHS_Mi8MTV3_FAB_vvsc: RHS_Mi8MTV3_FAB_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4353,	class RHS_Mi8MTV3_FAB_vdv: RHS_Mi8MTV3_FAB_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4366,	class RHS_Mi8mtv3_Cargo_vvs: RHS_Mi8MTV3_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4414,	class RHS_Mi8mtv3_Cargo_vvsc: RHS_Mi8mtv3_Cargo_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4431,	class RHS_Mi8mtv3_Cargo_vdv: RHS_Mi8mtv3_Cargo_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4444,	class RHS_Mi8MTV3_heavy_vvs: RHS_Mi8MTV3_Heavy_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,4445,	class RHS_Mi8MTV3_heavy_vvsc: RHS_Mi8MTV3_heavy_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4462,	class RHS_Mi8MTV3_heavy_vdv: RHS_Mi8MTV3_heavy_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4475,	class RHS_Mi8T_vvs: RHS_Mi8T_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,4476,	class RHS_Mi8T_vvsc: RHS_Mi8T_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4493,	class RHS_Mi8T_vdv: RHS_Mi8T_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4506,	class RHS_Mi8t_vv: RHS_Mi8T_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4519,	class RHS_Mi8AMT_vvs: RHS_Mi8AMT_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,4520,	class RHS_Mi8AMT_vvsc: RHS_Mi8AMT_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4537,	class RHS_Mi8AMT_vdv: RHS_Mi8AMT_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,4550,	class RHS_Mi8AMTSh_vvs: RHS_Mi8AMTSh_VVS_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,4551,	class RHS_Mi8AMTSh_vvsc: RHS_Mi8AMTSh_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4568,	class RHS_Mi8AMTSh_UPK23_vvs: RHS_Mi8AMTSh_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4626,	class RHS_Mi8AMTSh_UPK23_vvsc: RHS_Mi8AMTSh_UPK23_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4643,	class RHS_Mi8AMTSh_FAB_vvs: RHS_Mi8AMTSh_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4680,	class RHS_Mi8AMTSh_FAB_vvsc: RHS_Mi8AMTSh_FAB_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4697,	class RHS_Mi8amt_civilian: RHS_Mi8AMT_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4726,	class RHS_Mi8t_civilian: RHS_Mi8T_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,4755,	class RHS_su25_base: O_Plane_CAS_02_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,8601,	class RHS_Su25_VVS_Base: RHS_su25_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,8606,	class RHS_Su25SM_vvs: RHS_Su25_VVS_Base
..\Mods\@RHSAFRF\rhs_c_a2port_air,8619,	class RHS_Su25SM_KH29_vvs: RHS_Su25SM_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,8660,	class RHS_Su25SM_CAS_vvs: RHS_Su25SM_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,8707,	class RHS_Su25SM_Cluster_vvs: RHS_Su25SM_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,8754,	class RHS_Su25SM_vvsc: RHS_Su25SM_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,8773,	class RHS_Su25SM_KH29_vvsc: RHS_Su25SM_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,8814,	class RHS_Su25SM_CAS_vvsc: RHS_Su25SM_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,8861,	class RHS_Su25SM_Cluster_vvsc: RHS_Su25SM_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,8908,	class RHS_Ka52_base: Heli_Attack_02_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,13792,	class RHS_Ka52Black_base: RHS_Ka52_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,13796,	class RHS_Ka52_vvsc: RHS_Ka52_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,13803,	class RHS_Ka52_vvs: RHS_Ka52Black_base
..\Mods\@RHSAFRF\rhs_c_a2port_air,13810,	class RHS_Ka52_UPK23_vvs: RHS_Ka52_vvs
..\Mods\@RHSAFRF\rhs_c_a2port_air,13843,	class RHS_Ka52_UPK23_vvsc: RHS_Ka52_vvsc
..\Mods\@RHSAFRF\rhs_c_a2port_air,13876,	class rhs_ka52_blade: Plane
..\Mods\@RHSAFRF\rhs_c_a2port_air,13900,	class Car_f;
..\Mods\@RHSAFRF\rhs_c_a2port_air,13901,	class rhs_ka52_ejection_vest: Car_f
..\Mods\@RHSAFRF\rhs_c_a2port_air,13924,	class rhs_ka52_rps_rocket: rhs_ka52_ejection_vest
..\Mods\@RHSAFRF\rhs_c_a2port_air,13934,	class UAV_02_base_F: UAV
..\Mods\@RHSAFRF\rhs_c_a2port_air,13938,	class rhs_pchela1t_base: UAV_02_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,14146,	class rhs_pchela1t_vvs: rhs_pchela1t_base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,14147,	class rhs_pchela1t_vvsc: rhs_pchela1t_base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,14148,	class Module_F;
..\Mods\@RHSAFRF\rhs_c_a2port_air,14149,	class ModuleCAS_F: Module_F
..\Mods\@RHSAFRF\rhs_c_a2port_armor,2,	class rhs_c_a2port_armor
..\Mods\@RHSAFRF\rhs_c_a2port_armor,25,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,29,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,33,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,37,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,41,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,45,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,49,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,53,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,59,	class RHS
..\Mods\@RHSAFRF\rhs_c_a2port_armor,67,	class LandVehicle;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,68,	class Tank: LandVehicle
..\Mods\@RHSAFRF\rhs_c_a2port_armor,74,	class Tank_F: Tank
..\Mods\@RHSAFRF\rhs_c_a2port_armor,105,	class APC_Tracked_02_base_F: Tank_F
..\Mods\@RHSAFRF\rhs_c_a2port_armor,109,	class Car;
..\Mods\@RHSAFRF\rhs_c_a2port_armor,110,	class Car_F: Car
..\Mods\@RHSAFRF\rhs_c_a2port_armor,129,	class Wheeled_APC_F: Car_F
..\Mods\@RHSAFRF\rhs_c_a2port_armor,153,	class rhs_btr_base: Wheeled_APC_F
..\Mods\@RHSAFRF\rhs_c_a2port_armor,191,	class rhs_btr60_base: rhs_btr_base
..\Mods\@RHSAFRF\rhs_c_a2port_armor,814,	class rhs_btr60_vmf: rhs_btr60_base
..\Mods\@RHSAFRF\rhs_c_a2port_armor,822,	class rhs_btr60_vdv: rhs_btr60_vmf
..\Mods\@RHSAFRF\rhs_c_a2port_armor,831,	class rhs_btr60_vv: rhs_btr60_vmf
..\Mods\@RHSAFRF\rhs_c_a2port_armor,843,	class rhs_btr60_msv: rhs_btr60_vmf
..\Mods\@RHSAFRF\rhs_c_a2port_armor,851,	class rhs_zsutank_base: APC_Tracked_02_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_armor,1472,	class rhs_zsu234_aa: rhs_zsutank_base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_car,3,	class rhs_c_a2port_car
..\Mods\@RHSAFRF\rhs_c_a2port_car,59,	class RHS_A2_CarsImport
..\Mods\@RHSAFRF\rhs_c_a2port_car,68,	class RHS
..\Mods\@RHSAFRF\rhs_c_a2port_car,103,	class RHS_Gear
..\Mods\@RHSAFRF\rhs_c_a2port_car,115,	class rhs_rain
..\Mods\@RHSAFRF\rhs_c_a2port_car,134,	class RHS_UAZ_Door
..\Mods\@RHSAFRF\rhs_c_a2port_car,164,	class RHS_Ural_Door
..\Mods\@RHSAFRF\rhs_c_a2port_car,194,	class RHS_Gearbox
..\Mods\@RHSAFRF\rhs_c_a2port_car,215,	class RHS_Wipers
..\Mods\@RHSAFRF\rhs_c_a2port_car,239,	class LandVehicle;
..\Mods\@RHSAFRF\rhs_c_a2port_car,240,	class Car: LandVehicle
..\Mods\@RHSAFRF\rhs_c_a2port_car,245,	class Car_F: Car
..\Mods\@RHSAFRF\rhs_c_a2port_car,271,	class Offroad_01_base_F: Car_F;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_car,272,	class Truck_F: Car_F
..\Mods\@RHSAFRF\rhs_c_a2port_car,288,	class RHS_UAZ_Base: Offroad_01_base_F
..\Mods\@RHSAFRF\rhs_c_a2port_car,1563,	class rhs_uaz_open_Base: RHS_UAZ_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,1604,	class RHS_UAZ_DShKM_Base: RHS_UAZ_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,1718,	class RHS_UAZ_AGS30_Base: RHS_UAZ_DShKM_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,1751,	class RHS_UAZ_SPG9_Base: RHS_UAZ_DShKM_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,1805,	class RHS_UAZ_MSV_Base: RHS_UAZ_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,1814,	class rhs_uaz_open_MSV_Base: rhs_uaz_open_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,1823,	class RHS_UAZ_MSV_01: RHS_UAZ_MSV_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_car,1824,	class rhs_uaz_vdv: RHS_UAZ_MSV_01
..\Mods\@RHSAFRF\rhs_c_a2port_car,1833,	class rhs_uaz_vmf: RHS_UAZ_MSV_01
..\Mods\@RHSAFRF\rhs_c_a2port_car,1841,	class rhs_uaz_vv: RHS_UAZ_MSV_01
..\Mods\@RHSAFRF\rhs_c_a2port_car,1849,	class rhs_uaz_open_MSV_01: rhs_uaz_open_MSV_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_car,1850,	class rhs_uaz_open_vdv: rhs_uaz_open_MSV_01
..\Mods\@RHSAFRF\rhs_c_a2port_car,1859,	class rhs_uaz_open_vmf: rhs_uaz_open_MSV_01
..\Mods\@RHSAFRF\rhs_c_a2port_car,1867,	class rhs_uaz_open_vv: rhs_uaz_open_MSV_01
..\Mods\@RHSAFRF\rhs_c_a2port_car,1875,	class RHS_Ural_BaseTurret: Truck_F
..\Mods\@RHSAFRF\rhs_c_a2port_car,3122,	class RHS_Ural_Base: RHS_Ural_BaseTurret
..\Mods\@RHSAFRF\rhs_c_a2port_car,3136,	class RHS_Ural_MSV_Base: RHS_Ural_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,3150,	class RHS_Ural_MSV_01: RHS_Ural_MSV_Base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_car,3151,	class RHS_Ural_VDV_01: RHS_Ural_MSV_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,3160,	class RHS_Ural_VMF_01: RHS_Ural_MSV_Base
..\Mods\@RHSAFRF\rhs_c_a2port_car,3168,	class RHS_Ural_VV_01: RHS_Ural_MSV_Base
